Song,Artist/Group,Producer,Guest Artist/Featuring,Album,Format,Year,Label,Catalog Number,Artwork/Design,Other Notes,Keywords
DNA,Analyrical,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
I Am Legend,Analyrical,,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Funk Yo Monk (We Red Hot),Background Noise Crew,Phingaz,Phaust,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Room to Operate,Background Noise Crew,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Splay,Background Noise Crew,Egypto Knuckles,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
The Way of the Background Samurai,Background Noise Crew,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Thieves in the Right,C.A.S.E.,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Cult Angel,Green Sketch,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
She Smokes,Green Sketch,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Here For You,Phingaz,Phingaz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Wizard of Laws,Status Reign,Vividend,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Club Broke,Status Reign + Tonekrusher Smith,,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Everything Jinky,Tonekrusher Smith,Black Jack Armstrong,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Part-Time Rapper,Tonekrusher Smith,Black Jack Armstrong,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Carry Along,TQD,MC Rentz,,"Everybody Does This, Vol. 1",Compact Disc,2012,,,,,
Came Off That Underground,Minnesota Snipe,,Mr. Sche,Evolution,Compact Disc,2007,,,,,
Destiny,Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Gangsta Harmony,Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Intro,Minnesota Snipe,Mr. Sche,,Evolution,Compact Disc,2007,,,,,
Minnesota Stand Up (Shoutouts),Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
One and Only,Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Pull the Plug,Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Throw It Up,Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Throw It Up,Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Thru the M.I.C.,Minnesota Snipe,,Dilusion + Ballin Wallin,Evolution,Compact Disc,2007,,,,,
With or Without (Radio edit),Minnesota Snipe,,,Evolution,Compact Disc,2007,,,,,
Baba,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
C.D.,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Dat Rhythm,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Forever Heavies,Truth Maze,,Donald Washington,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Free Up,Truth Maze,,"Blaqk Money, Muja Messiah",Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
I Love,Truth Maze,,Aimee K. Bryant,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
In This City,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Infinite Black Women,Truth Maze,,Kazadi aka Sister Mimi,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Interview,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Intro,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
North Side Blues Song,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Prayer to Olodumare,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Tic Toc,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
Universal Shout Outs,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
West Nile Virus,Truth Maze,,,Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
What It Look Like,Truth Maze,,"ISelfDevine, Mystic Blu",Expansions & Contractions | Psoems 1:1,Compact Disc,2006,,,,,
[blank] ,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Allright,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Apple Pie,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Blue ,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Falling Forward ,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
It's Cool,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Lo Tones,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Methods,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Radio Music ,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Spark,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Traditional ,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Tryin To Live,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Uniforms Patrol,Traditional Methods,,,Falling Forward,Compact Disc,2004,,,,,
Atreyu and the Swamps of Sadness,Cecil Otter,Cecil Otter,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Blacklist,Cecil Otter,Beatiful Bobby Gorgeous,Paper Tiger (cuts),False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Chicken or the Egg,Cecil Otter,Emily Bloodmobile,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
City Girl (Amuse-Meant-To-Get-Her),Cecil Otter,Cecil Otter,Charlie Puleston (guitar),False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Good For Once,Cecil Otter,Cecil Otter,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Lakeshore Drifter,Cecil Otter,Marshall Larada,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Matchbook Diaries,Cecil Otter,Lazerbeak,Sean McPherson (bass),False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Mom Song,Cecil Otter,Cecil Otter,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Old Fashioned House,Cecil Otter,Cecil Otter,Turbo Nemesis (cuts),False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Tin Man Purrs Like a Kitten,Cecil Otter,Cecil Otter,Turbo Nemesis (cuts),False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
Travis Bickles' Once Over,Cecil Otter,Beatiful Bobby Gorgeous,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-010,Poohki (M.Ward); Sven Von LYnch; Kathryn Naden; Marshall Larada,,
551,Dessa,Paper Tiger,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-009,Poohki (Illustrations); Marshall Larada (Design + Layout),,
Everything Floats,Dessa,Tom Servo,Cecil Otter (vocals),False Hopes,Compact Disc,2005,Doomtree Records,DTR-009,Poohki (Illustrations); Marshall Larada (Design + Layout),,
Kites,Dessa,Butcher's Butcher,,False Hopes,Compact Disc,2005,Doomtree Records,DTR-009,Poohki (Illustrations); Marshall Larada (Design + Layout),,
Mineshaft,Dessa,Lazerbeak,Jessy Greene (violin),False Hopes,Compact Disc,2005,Doomtree Records,DTR-009,Poohki (Illustrations); Marshall Larada (Design + Layout),,
Press On,Dessa,Lazerbeak,Sims (vocals),False Hopes,Compact Disc,2005,Doomtree Records,DTR-009,Poohki (Illustrations); Marshall Larada (Design + Layout),,
A Candle in Chicago (Interlude),Doomtree,Cecil Otter,,False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
A Hundred Fathers,Doomtree,Cecil Otter,Cecil Otter (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Check Your Tuning (Interlude),Doomtree,P.O.S.,,False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Flex,Doomtree,Cecil Otter,P.O.S./Sims/Dessa/Mictlan (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Hot Monotony,Doomtree,Lazerbeak,Mictlan/Sims/P.O.S. (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
I Should Cut Your Liver Out (interlude),Doomtree,MK Larada,,False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
If & When,Doomtree,Valiant & Valiant,,False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Knives On Fire,Doomtree,Paper Tiger,Sims/Mictlan/P.O.S. (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Lucky,Doomtree,Paper Tiger,Sims (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
No Homeowners (Renter's Rebate),Doomtree,MK Larada/Cecil Otter/Paper Tiger/Lazerbeak,Cecil Otter/Dessa/Mictlan/P.O.S./Sims (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Savion Glover,Doomtree,P.O.S.,P.O.S. (vocals); Turbo Nemesis (cuts),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Slow Burn,Doomtree,MK Larada,Sims/Mictlan (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Travelin Dunk Tank,Doomtree,Cecil Otter,P.O.S./Cecil Otter (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Veteran,Doomtree,Lazerbeak,Dessa (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR-013,,,
Cannonade,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
Interlude,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
Intro,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
Make-Make,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
Send Help,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
Singer,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
Speedmetal,Paper Tiger,Paper Tiger,Dessa (vocals),False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
The Random,Paper Tiger,Paper Tiger,,False Hopes,Compact Disc,2007,Doomtree Records,DTR 14,DESK2,,
. . . The End,Mike Mictlan,Lazerbeak,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Euthanasia,Mike Mictlan,Lazerbeak,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Forty Five Angle,Mike Mictlan,MneMonic,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Hey Mike!,Mike Mictlan,MneMonic,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Ichi the Killer,Mike Mictlan,Rich Rok,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Marq'd 4 Death,Mike Mictlan,Lazerbeak,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Megablast,Mike Mictlan,MneMonic,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Rap Cash,Mike Mictlan,,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Re-Evolve,Mike Mictlan,MneMonic,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
S.M.D.P.,Mike Mictlan,,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Seventy Seven,Mike Mictlan,Rich Rok,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Soul Survivor,Mike Mictlan,Lazerbeak,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
The Bigger They . . .,Mike Mictlan,Rich Rok,Turbo Nemesis and DJ Rich Rok (cuts),False Hopes Eight - Deity for Rehire,Compact Disc,2005,Doomtree Records,DTR008,,,
Birds and Earthworms,Sims,Lazerbeak,Omaur Bliss (vocals),False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Like You Mean It,Sims,MK Larada,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Pay No Mind,Sims,Lazerbeak,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Pay No Mind Redo,Sims,Paper Tiger,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Rap Practice,Sims,Noam the Drummer,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Roll Down,Sims,Cecil Otter,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Something Crazy is Happening,Sims,P.O.S.,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
TC AG,Sims,Lazerbeak,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
Up For Grabs,Sims,Noam the Drummer,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
With the Fire In Its Palm,Sims,Medium Zach,,False Hopes XIV,Compact Disc,2009,Doomtree Records,DTR-019,,,
A Rickety Bridge,Doomtree,Lazerbeak,Cecil Otter (raps),False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
Coup For The Kings,Doomtree,Lazerbeak,Sims/P.O.S. (raps),False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
Do Not Stay,Doomtree,Lazerbeak,P.O.S. (raps),False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
OMG!,Doomtree,Rich Rok,Mike Mictlan (raps); Paper Tiger (cuts),False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
Profit & Loss,Doomtree,Paper Tiger,Dessa/Mike Mictlan/Cecil Otter/P.O.S./Sims (raps),False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
Scuffle,Doomtree,P.O.S.,Dessa (raps),False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
We're Working Hard,Doomtree,Paper Tiger,,False Hopes XV,Compact Disc,2009,Doomtree Records,DTR-023,,,
Original Demo 1,DJ Abilities,,,Finally,Compact Disc,,self-released,,,,
Original Demo 2,DJ Abilities,,,Finally,Compact Disc,,self-released,,,,
. . . Powdered Water Too (Part 1),Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
. . . Powdered Water Too (Part 2),Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
A Murder of Memories,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Big Shots,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Birth of a Fish,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Blindly Firing,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Bonus Track #2 (Live Freestyle),Eyedea & Abilities,DJ Abilities,Blueprint,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Color My World Mine,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
DJ Abilities (Interlude),Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Liquid Sovereignty,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Music Music,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
On This I Stand,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
One,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Read Wiped in Blue,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
The Dive,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Void (External Theory),Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Void (Internal Theory),Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Well Being,Eyedea & Abilities,DJ Abilities,,First Born,Compact Disc,2001,Rhymesayers Entertainment,RS0022-2,M. Ward (art + design); Stress (layout),,
Eight,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Five,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Four,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Nine,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
One,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Seven,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Six,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Ten,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Three,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
Two,Big Cats,Big Cats,,For My Mother,Compact Disc,2012,self-released,,,,
And Who Tha Phuk RU?,Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Animal,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Cerebral Cortex,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Clapped!,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Climate Hybrids,Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Exit Wound / At The Hands Of Omega,Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Fatality,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Foreign Genetics,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Mayday,Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Nanotekexperte-ism,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Storm Riders,Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Swiggsetterrorist (instrumental),Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
The SWEEPS Anthem,Carnage/The S.W.E.E.P.S.,Omega Supreme,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Wait I Still Function,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
What's Goin' On?,Carnage/The S.W.E.E.P.S.,Computron,,Foreign Genetics,Compact Disc,2003,Melophobic Records,MPR.03,,,
Ode to Modern Man (Lightning Blend),Atmosphere,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Look Into Our Wilderness,Beyond,,Gene Poole & Extreme (vocals),Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
(Intro) Sweet Microphone,Casino Royale,,Phull Surkle,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Jam IV,Casino Royale,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
2AM,Full Length,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
That Isn't Even Worth Selling,Happy Apple,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Done,Jayson Heinrichs & El Segundo Productions,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Sidewalk's End,Jayson Heinrichs & El Segundo Productions,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
All My Love,Lady & the Katz,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
It's Like That,Lady & the Katz,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
psychic friend,mmf,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Herbie (Holiday Mix),Sesnational Joint Chiefs,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
The Joint,Sesnational Joint Chiefs,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Another Day,Who Are Those Guys,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
Bubblegum Song,Who Are Those Guys,,,Freeloaded Wednesdays,Compact Disc,1997,Groove Garden Records,GGR 001,"Flapjack Production, Michael Molitor, Cameron Wittig",,
"""R.A.S.B.""",Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Cabrini,Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Daddy Will Always Love You (Still Your Daddy),Moochy C,M. Chevis,Denweddie and Flynch,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Gettin Paper,Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Good Girl Gon Bad,Moochy C,M. Chevis,Denweddie,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Intro,Moochy C,,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
It's Ya Boy Moochy C,Moochy C,,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Rules and Regulations (Interlude),Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
Skit,Moochy C,,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
So Hood,Moochy C,M. Chevis,Flynch and Low Down,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
So What You Got,Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
That Bitch,Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
This Aint Ah Game,Moochy C,,Saint Paul Kings,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
To My Momma,Moochy C,M. Chevis,,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
What's Good What's Hood,Moochy C,D-Mil,D. Mill,"From Chicago to Minneapolis ""R.A.S.B.""",Compact Disc,2006,Self-Explanatory Records,,,,
All Day Long,Big Quarters,Medium Zach,,From The Home of Brown Babies and White Mothers,Compact Disc,2009,Self-released,LCB-005,Adam Garcia,,
Barter System,Big Quarters,Medium Zach,,From The Home of Brown Babies and White Mothers,Compact Disc,2009,Self-released,LCB-005,Adam Garcia,,
Blessed,Big Quarters,Medium Zach,,From The Home of Brown Babies and White Mothers,Compact Disc,2009,Self-released,LCB-005,Adam Garcia,,
Can't Wont,Big Quarters,Medium Zach,"PC (piano), Baby Gracious (drums), Cory Grindberg (guitar)",From The Home of Brown Babies and White Mothers,Compact Disc,2009,Self-released,LCB-005,Adam Garcia,,
Firebird,Big Quarters,Medium Zach + Mux Mool,,From The Home of Brown Babies and White Mothers,Compact Disc,2009,Self-released,LCB-005,Adam Garcia,,
Free Shipping,Big Quarters,Medium Zach,Noam the Drummer (drums),From The Home of Brown Babies and White Mothers,Compact Disc,2009,Self-released,LCB-005,Adam Garcia,,
